Cycle: (Cycle #)
Experiment #: 6
Proposal ID: 31767
Instrument: HB2D
Experiment Title: Spin textured beam
Session Start Time: 08/29/2023  03:46:48 PM

Parameters Logged:
Device Name	Timestamp	Value
ac_2_current	08/29/2023  04:18:51 PM	0.0006
nu_3_current	08/29/2023  04:18:51 PM	-0.0005
nu_1_current	08/29/2023  04:19:51 PM	0.0027
ac_1_current	08/29/2023  04:19:51 PM	-0.0005
prism_current	08/29/2023  04:19:51 PM	0.0015
nu_2_current	08/29/2023  04:19:51 PM	-0.0018
ac_2_current	08/29/2023  04:19:51 PM	0.0006
nu_3_current	08/29/2023  04:19:51 PM	-0.0006
nu_1_current	08/29/2023  04:20:51 PM	0.0027
ac_1_current	08/29/2023  04:20:51 PM	-0.0005
prism_current	08/29/2023  04:20:51 PM	0.0015
nu_2_current	08/29/2023  04:20:51 PM	-0.0018
ac_2_current	08/29/2023  04:20:51 PM	0.0007
nu_3_current	08/29/2023  04:20:51 PM	-0.0006
nu_1_current	08/29/2023  04:21:51 PM	0.0027
ac_1_current	08/29/2023  04:21:51 PM	-0.0005
prism_current	08/29/2023  04:21:51 PM	0.0015
nu_2_current	08/29/2023  04:21:51 PM	-0.0017
ac_2_current	08/29/2023  04:21:51 PM	0.0006
nu_3_current	08/29/2023  04:21:51 PM	-0.0005
nu_1_current	08/29/2023  04:22:51 PM	0.0027
ac_1_current	08/29/2023  04:22:51 PM	-0.0005
prism_current	08/29/2023  04:22:51 PM	0.0015
nu_2_current	08/29/2023  04:22:51 PM	-0.0017
ac_2_current	08/29/2023  04:22:51 PM	0.0007
nu_3_current	08/29/2023  04:22:51 PM	-0.0006
nu_1_current	08/29/2023  04:23:51 PM	0.0027
ac_1_current	08/29/2023  04:23:51 PM	-0.0005
prism_current	08/29/2023  04:23:51 PM	0.0015
nu_2_current	08/29/2023  04:23:51 PM	-0.0017
ac_2_current	08/29/2023  04:23:51 PM	0.0007
nu_3_current	08/29/2023  04:23:51 PM	-0.0005
nu_1_current	08/29/2023  04:24:51 PM	0.0027
ac_1_current	08/29/2023  04:24:51 PM	-0.0005
prism_current	08/29/2023  04:24:51 PM	0.0015
nu_2_current	08/29/2023  04:24:51 PM	-0.0017
ac_2_current	08/29/2023  04:24:51 PM	0.0007
nu_3_current	08/29/2023  04:24:51 PM	-0.0006
nu_1_current	08/29/2023  04:25:51 PM	0.0027
ac_1_current	08/29/2023  04:25:51 PM	-0.0006
prism_current	08/29/2023  04:25:51 PM	0.0015
nu_2_current	08/29/2023  04:25:51 PM	-0.0017
ac_2_current	08/29/2023  04:25:51 PM	0.0007
nu_3_current	08/29/2023  04:25:51 PM	-0.0006
nu_1_current	08/29/2023  04:26:52 PM	0.0027
ac_1_current	08/29/2023  04:26:52 PM	-0.0005
prism_current	08/29/2023  04:26:52 PM	0.0015
nu_2_current	08/29/2023  04:26:52 PM	-0.0017
ac_2_current	08/29/2023  04:26:52 PM	0.0006
nu_3_current	08/29/2023  04:26:52 PM	-0.0005
nu_1_current	08/29/2023  04:27:53 PM	0.0027
ac_1_current	08/29/2023  04:27:53 PM	-0.0006
prism_current	08/29/2023  04:27:53 PM	0.0015
nu_2_current	08/29/2023  04:27:53 PM	-0.0018
ac_2_current	08/29/2023  04:27:53 PM	0.0007
